"success","timeout","failed_images","failed_audio","failed_video","phase","experiment_trial_type","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","matrix_size","transition_matrix","conditional_entropies","sequence","trials_per_block","total_trials","practice_trials","rt","view_history","stimulus","response","position","correct_key","conditional_entropy","surprisal","correct","block","trial_in_block","overall_trial","question_order","questionnaire_item"
"","","","","","main","stimulus","html-keyboard-response","69","26662","0.0-23.0-0.0-0.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","478","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","f","3","f","0.06116306098273378","0.1532341592043482","true","0","2","2","",""
"","","","","","main","feedback","html-keyboard-response","70","26864","0.0-23.0-0.0-1.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","main","rsi","html-keyboard-response","71","26986","0.0-23.0-1.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","main","stimulus","html-keyboard-response","72","27375","0.0-24.0-0.0-0.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","388","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","a","2","d","1.9119656630922006","0.010336135010665224","false","0","3","3","",""
"","","","","","main","feedback","html-keyboard-response","73","27583","0.0-24.0-0.0-1.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""><div class=""feedback-error"">✗<br>Try again!</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">A</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""key-label"">;</div><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","main","retry","html-keyboard-response","74","27675","0.0-24.0-0.1-0.1","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","91","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""key-label"">A</div><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""key-label"">S</div><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""key-label"">D</div><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""key-label"">F</div><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""key-label"">J</div><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""key-label"">K</div><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""key-label"">L</div><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""key-label"">;</div><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","d","2","d","1.9119656630922006","0.010336135010665224","true","0","3","3","",""
"","","","","","main","feedback","html-keyboard-response","75","27877","0.0-24.0-0.1-1.1","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","main","rsi","html-keyboard-response","76","27999","0.0-24.0-1.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","main","stimulus","html-keyboard-response","77","28680","0.0-25.0-0.0-0.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","680","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","j","4","j","2.280322870927974","2.7236961810736204","true","0","4","4","",""
"","","","","","main","feedback","html-keyboard-response","78","28881","0.0-25.0-0.0-1.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""><div class=""feedback-correct"">✓</div></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box active"" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
"","","","","","main","rsi","html-keyboard-response","79","29002","0.0-25.0-1.0","R_m4ommtwk0e","N/A","N/A","8","[[0.36839347962148555,0.18582932025876694,0.007099807624767577,0,0.15137431597034123,0.00004704006797403088,0.2872560364566646,0],[0.0013850875680487965,0.18586284378261636,0,0,0.15139295312519652,0.6140674167743133,0.047291698749824945,0],[0.3745104341474003,0.1858379056676631,0,0,0.1513860127041273,0.00003380252449319531,0.2882318449563162,0],[0,0,0.9928611407415743,0,0.007138859258423303,0,2.311377831611195e-15,0],[0.22458671329618773,0.185844462376646,0,0,0.15139017778414854,0.2825562524203812,0.15562239412263662,0],[0,0.06864090234378073,0,0.10077365119056511,0.1374129705374384,6.273943863605896e-16,1.1140760074060623e-14,0.693172475928204],[0.031129704215363187,0.18578981018498472,0,0,0.1513426271865414,0.10330110461376944,0.2216034943604301,0.30683325943891115],[0,0.0022002880315079767,0,0.8992323487845896,0.09856736318389477,5.110966943270374e-15,2.681112802777004e-15,0]]","[1.9625341748528926,1.5169145114059281,1.9119656630922006,0.06116306098273378,2.280322870927974,1.3588843500111427,2.362303036870217,0.486703132356095]","[6,7,3,2,4,0,6,4,4,5,7,4,6,0,6,7,3,2,0,0,4,6,1,5,7,3,2,1,4,6,5,7,3,2,6,6,6,0,0,0,0,1,5,4,1,5,7,3,2,6,5,4,5,7,3,2,6,7,3,2,1,1,1,5,7,3,2,1,1,1,4,5,7,3,2,6,4,6,6,4]","80","80","16","null","","<div class=""feedback-message""></div><div class=""stimulus-container""><div class=""position-wrapper""><div class=""position-box "" data-position=""0""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""1""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""2""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""3""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""4""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""5""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""6""></div></div><div class=""position-wrapper""><div class=""position-box "" data-position=""7""></div></div></div><div class=""finger-diagram-container"">
			<img src=""assets/finger-diagrams/finger-diagram-8pos.png"" alt=""Finger position guide"" class=""finger-diagram"" />
		</div>","null","","","","","","","","","",""
